platform,post_id,comment,topic,neg_sentiment (%),pos_sentiment (%),neu_sentiment (%),sentiment_label,actionable_insight,2025-09-03
instagram,DM7zUx8swtt,Bro pls announce the signing of Superman 🇷🇴🇷🇴,New signing request (Superman),7.64,35.05,57.3,neutral,Implement a fan campaign celebrating Guus Til's contributions to the club.,2025-09-03
instagram,DM7zUx8swtt,🔥🔥🔥🙌,Enthusiastic praise,8.4,83.21,8.4,positive,Increase social media engagement with positive fan reactions.,2025-09-03
instagram,DM7zUx8swtt,"Toch héél lekker om deze binnen te hebben zeg! 🏆 En, als je kijkt naar veel andere landen, fijn dat wij hem nog wél in eigen land spelen elk jaar. Mijn club!! ❤️🤍",Local player preference,8.33,78.8,12.87,positive,Prioritize open training sessions to foster fan connection.,2025-09-03
instagram,DM7zUx8swtt,PSV schaal,Trophy achievement,7.84,66.29,25.87,positive,Develop content highlighting local players' importance.,2025-09-03
instagram,DM7zUx8swtt,🕺 🕺,Excitement,8.43,83.14,8.43,positive,Recognize and reward player achievements with a trophy presentation.,2025-09-03
instagram,DM7euGCs_Mh,Omg die gun ik jou zo erg! @kayleighmarlena ❤️,Fan admiration (Kayleigh Marlena),8.46,83.08,8.46,positive,Generate excitement through dynamic social media content.,2025-09-03
instagram,DM7euGCs_Mh,"Bedankt voor alles luuk je bent en blijft een legende voor ons PSV hopelijk kom je ooit nog terug in een andere functie binnen de club, hopelijk krijg je een standbeeld. Luuk de legend 🐐💡",Player appreciation (Luuk de Jong),8.05,71.66,20.29,positive,Create a dedicated fan campaign for player admiration.,2025-09-03
instagram,DM7euGCs_Mh,🔥🤩🤩,Enthusiastic praise,8.39,83.23,8.39,positive,Develop a campaign honoring Luuk de Jong's legacy.,2025-09-03
instagram,DM7euGCs_Mh,🔥❤️🔥,Enthusiastic praise,8.39,83.22,8.39,positive,Generate social media content reflecting intense fan enthusiasm.,2025-09-03
instagram,DM7euGCs_Mh,@lynn_.n die moet jij toch winnen als Luuks grootste fan,Fan competition (Luuk fan),7.98,23.65,68.38,neutral,Organize a fan competition celebrating Luuk de Jong’s supporters.,2025-09-03
instagram,DM7euGCs_Mh,😍😍😍😍😍😍🙌🙌,Overwhelming admiration,8.41,83.19,8.41,positive,Produce content showcasing children’s PSV enthusiasm.,2025-09-03
instagram,DM7euGCs_Mh,Jammer heb geen account maar wel n zoon die Luuk heet en liefde voor psv kent en er heel gelukkig mee zou zijn☺️🥲,Child’s PSV enthusiasm,8.41,80.47,11.13,positive,Highlight Guus Til's value to the team through data and visuals.,2025-09-03
instagram,DM7mNNgst6_,"Toen ik tegen een collega zei (is voor 020): kijk we hebben Guus Til binnengehaald, werd ik vierkant uitgelachen door hem 😅 Maar kijk eens naar wat voor waarde hij heeft en geeft aan PSV, zo'n speler heb je gewoon nodig in de selectie! Ik heb alleen maar lof voor Til! Een van mijn favoriete in het PSV shirt",Player appreciation (Guus Til),7.72,59.89,32.39,positive,Reinforce Guus Til’s value through targeted messaging.,2025-09-03
instagram,DM7mNNgst6_,Hij is ook heel belangrijk op de platte kar,Player importance (Guus Til),9.84,14.93,75.23,neutral,Promote Guus Til’s positive attitude through fan stories.,2025-09-03
instagram,DM7mNNgst6_,Guus ❤️,Player appreciation (Guus Til),8.35,79.15,12.5,positive,Launch a campaign to encourage Guus Til’s continued commitment.,2025-09-03
instagram,DM7mNNgst6_,"0nzunne Prins Guus d'n Tweede. Wil Guusje ook trainer worden zoals Prins Guus d'n urste, .. Hiddink?!",Manager comparison (Hiddink),8.41,13.87,77.71,neutral,Cultivate a sense of PSV identity through fan-generated content.,2025-09-03
instagram,DM7mNNgst6_,Voetballer met winnaars mentaliteit 💪🏻,Player mentality,7.68,50.11,42.21,positive,Showcase Guus Til’s winning mentality in promotional materials.,2025-09-03
instagram,DM7mNNgst6_,"Til underrated, contract voor het leven!",Player loyalty (Guus Til),7.96,58.41,33.63,positive,UNKNOWN,2025-09-03
instagram,DM7mNNgst6_,Echte PSV’er,Player identity,9.32,13.63,77.05,neutral,UNKNOWN,2025-09-03
instagram,DM7mNNgst6_,"Geweldig speler, en prachtig mens! Trots dat hij bij ons PSV speelt.",Player appreciation (Guus Til),7.98,69.21,22.81,positive,UNKNOWN,2025-09-03
instagram,DM7mNNgst6_,Hij blijft een verrader,Narsingh Wijnaldum (disloyalty),26.08,12.92,61.0,neutral,Highlight Wijnaldum’s contributions to foster fan loyalty.,2025-09-03
instagram,DM7mNNgst6_,Altijd in de basis zetten. Zie je wel weer 🔥,Moussa Dembele (starting role),7.97,70.82,21.21,positive,Prioritize Dembele’s playing time to increase fan satisfaction.,2025-09-03
instagram,DM7qQhzMT7I,❤️,(No specific topic),7.85,65.19,26.96,positive,Maintain consistent positive sentiment across all channels.,2025-09-03
instagram,DM7qQhzMT7I,in my days there were two or four and games were played with just one ball. The whole stadium had their eyes on you if and when... ;-) Mijn eerste wedstrijd was Willy's eerste wedstrijd. #SkieteWilly,Willy Samuel (nostalgia),7.59,53.74,38.67,positive,Curate content celebrating the history of iconic players like Willy Samuel.,2025-09-03
instagram,DM7qQhzMT7I,,(No specific topic),22.12,10.48,67.4,neutral,Continue monitoring social media for emerging trends.,2025-09-03
instagram,DM7qQhzMT7I,💪🇲🇦❤️,Atupey (support),8.37,79.85,11.78,positive,Publicly acknowledge and appreciate Atupey’s support.,2025-09-03
instagram,DM7qQhzMT7I,❤️🤍,(No specific topic),8.11,73.72,18.17,positive,Reinforce the club’s colors in visual communication.,2025-09-03
instagram,DM7qQhzMT7I,Benieuwd wie van deze gasten over een jaar of 10 op het veld staat!,Bright Nkoudou (future prospects),7.72,61.97,30.3,positive,Develop scouting reports on Nkoudou’s long-term potential.,2025-09-03
instagram,DM7qQhzMT7I,We staan er weer goed op @mika_netten,Mika Nütten (positive engagement),7.75,63.6,28.65,positive,Engage with Nütten’s supporters to strengthen the fan base.,2025-09-03
instagram,DM7qQhzMT7I,@abutalipaksoy,Abutalipaksoy (positive engagement),7.63,55.4,36.97,positive,Acknowledge and respond to Abutalipaksoy’s comments.,2025-09-03
instagram,DM6MVEuoIdF,🙌🙌🙌,(No specific topic),8.45,81.04,10.51,positive,Maintain a celebratory tone across social media.,2025-09-03
instagram,DM6MVEuoIdF,🔥🔥🔥🔴⚪💡,Ibrahim Sangaré (enthusiasm),8.02,71.93,20.05,positive,Create content showcasing Sangaré’s impact and excitement.,2025-09-03
instagram,DM6MVEuoIdF,Pfff kenker lemps💡,Joey Veerman (tactics),19.22,20.79,59.99,neutral,Analyze Veerman’s tactical performance for fan understanding.,2025-09-03
instagram,DM6MVEuoIdF,🔥👏❤️,Xavi Simons (enthusiasm),8.45,83.09,8.45,positive,Produce content celebrating Simons’ talent and enthusiasm.,2025-09-03
instagram,DM6MVEuoIdF,🏆,Trophy (achievement),7.57,53.19,39.24,positive,Celebrate the team’s achievements with trophy-focused content.,2025-09-03
instagram,DM6MVEuoIdF,"Supercup bestaat sinds de jaren 90. Dat PSV er veruit de meeste van gewonnen heeft, zegt wel veel over de verhoudingen in het moderne voetbaltijdperk.",(No specific topic),7.86,29.71,62.43,neutral,Share historical data illustrating PSV’s trophy dominance.,2025-09-03
instagram,DM6MVEuoIdF,💡💡❤️🤍🏆🏆😍😍,Xavi Simons (enthusiasm),8.44,83.12,8.44,positive,Generate content amplifying Simons’ popularity.,2025-09-03
instagram,DM7Evy6S2aU,,(No specific topic),22.12,10.48,67.4,neutral,Maintain a neutral tone in social media responses.,2025-09-03
instagram,DM7Evy6S2aU,Lekker prijsjes verzamelen,Memphis Depay (prize collection),8.15,17.68,74.18,neutral,Showcase Depay’s goal-scoring record to fans.,2025-09-03
instagram,DM7Evy6S2aU,👏👏,(No specific topic),8.09,73.06,18.85,positive,Continue to foster positive fan engagement.,2025-09-03
instagram,DM7Evy6S2aU,🙌❤️🔥,Fan enthusiasm,8.41,83.18,8.41,positive,→ Schedule fan events to amplify positive sentiment.,2025-09-03
instagram,DM7Evy6S2aU,"Kampioenuhh olé olé 
⚽🥅🏟️👚🏆🔴⚪ #psv",“Kampioenuhh” chant,10.53,26.63,62.83,neutral,→ Create chants and visuals celebrating “Kampioenuhh”.,2025-09-03
instagram,DM7Evy6S2aU,👏👏👏🔥,Fan enthusiasm,8.44,83.12,8.44,positive,→ Prioritize fan engagement through interactive content.,2025-09-03
instagram,DM7Evy6S2aU,Maurooo❤️🙌,Mauro support,8.52,82.67,8.81,positive,→ Highlight Mauro’s contributions in marketing materials.,2025-09-03
instagram,DM7Evy6S2aU,❤️,Fan enthusiasm,8.47,83.07,8.47,positive,→ Boost overall fan excitement with engaging posts.,2025-09-03
instagram,DM7Bm33so7t,🔥🔥🔥🔥🔥🔥,Fan enthusiasm,8.48,83.05,8.48,positive,→ Organize open training sessions for fan interaction.,2025-09-03
instagram,DM7Bm33so7t,🙏❤️🤍👊🏽💪,Fan request – open training,8.21,76.81,14.98,positive,→ Analyze Dest’s technique and develop training drills.,2025-09-03
instagram,DM7Bm33so7t,"Hoe Dest die bal in eerste instantie al vol in de loop meeneemt met buitenkant voet, dat maakt het verschil. Van die klasse hebben we er nog twee extra nodig. Die flank en middenveld kunnen spelen.",Dest – tactical adjustment,11.01,18.57,70.42,neutral,→ Promote Dest’s strong performance across channels.,2025-09-03
instagram,DM7Bm33so7t,Good to see Dest in form 💪👊,Dest – form appreciation,8.44,83.11,8.44,positive,→ Intensify fan interest in Dest’s development.,2025-09-03
instagram,DM7Bm33so7t,Dest 🔥🔥🔥,Dest – fan enthusiasm,8.35,79.5,12.15,positive,→ Generate further enthusiasm around Dest.,2025-09-03
instagram,DM7Bm33so7t,👏👏👏🔥,Fan enthusiasm,8.44,83.12,8.44,positive,→ Increase fan support for Dest through targeted campaigns.,2025-09-03
instagram,DM7Bm33so7t,👏👏👏,Fan enthusiasm,8.45,83.09,8.45,positive,→ Generate greater fan excitement through celebratory posts.,2025-09-03
instagram,DM7Bm33so7t,Haal Ihattaren terug,Ihattaren – return request,8.42,13.3,78.27,neutral,→ Amplify fan support for Dest through fan-made content.,2025-09-03
